"geom","aes","ex","ex2","code","layer","data"
"theme_stata","","p2","theme_stata()","ggplot(mtcars,aes(x=wt,y=mpg,colour=factor(gear)))","geom_point()+ggtitle(""Cars"")+scale_colour_stata()","mtcars"
"theme_tufte","ticks","p1","theme_tufte() 
 ","ggplot(mtcars,aes(x=wt,y=mpg))","geom_point()+ggtitle(""Cars"")+geom_rangeframe()+scale_x_continuous(breaks = extended_range_breaks()(mtcars$wt))+scale_y_continuous(breaks = extended_range_breaks()(mtcars$mpg))
","mtcars"
"theme_void","","r","theme_void()","ggplot(mpg,aes(fl))+geom_bar()","","mpg"
"theme_wsj","","p2","theme_wsj()","ggplot(mtcars,aes(x=wt,y=mpg,colour=factor(gear)))","geom_point()+ggtitle(""Cars"")+scale_colour_wsj()","mtcars"
"geom_blank","","","","","",""
"geom_linerange","x,ymax,ymin,alpha,color,group,linetype,size","j","geom_linerange()","ggplot(dfj,aes(grp,fit,ymin=fit-se,ymax=fit+se))","","dfj"
"scale_x_continuous","","","scale_x_continuous()","ggplot(mpg,aes(displ,hwy))","geom_point()","mpg"
"scale_y_continuous","","","scale_y_continuous()","ggplot(mpg,aes(displ,hwy))","geom_point()","mpg"
"scale_x_log10","","","","","",""
"scale_y_log10","","","","","",""
"scale_x_reverse","","","","","",""
"scale_y_reverse","","","","","",""
"scale_x_sqrt","","","","","",""
"scale_y_sqrt","","","","","",""
"scale_alpha","","","","","",""
