"geom","setting","input","value","quoted","placeholder","group"
"scale_y_log10","breaks","text","",FALSE,"waiver()",NA
"scale_x_reverse","breaks","text","",FALSE,"waiver()",NA
"scale_y_reverse","breaks","text","",FALSE,"waiver()",NA
"scale_x_sqrt","breaks","text","",FALSE,"waiver()",NA
"scale_y_sqrt","breaks","text","",FALSE,"waiver()",NA
"scale_x_continuous","minor_breaks","text","",FALSE,"waiver()",NA
"scale_y_continuous","minor_breaks","text","",FALSE,"waiver()",NA
"scale_x_log10","minor_breaks","text","",FALSE,"waiver()",NA
"scale_y_log10","minor_breaks","text","",FALSE,"waiver()",NA
"scale_x_reverse","minor_breaks","text","",FALSE,"waiver()",NA
"scale_y_reverse","minor_breaks","text","",FALSE,"waiver()",NA
"scale_x_sqrt","minor_breaks","text","",FALSE,"waiver()",NA
"scale_y_sqrt","minor_breaks","text","",FALSE,"waiver()",NA
"scale_x_continuous","labels","text","",FALSE,"waiver()",NA
"scale_y_continuous","labels","text","",FALSE,"waiver()",NA
"scale_x_log10","labels","text","",FALSE,"waiver()",NA
"scale_y_log10","labels","text","",FALSE,"waiver()",NA
"scale_x_reverse","labels","text","",FALSE,"waiver()",NA
"scale_y_reverse","labels","text","",FALSE,"waiver()",NA
"scale_x_sqrt","labels","text","",FALSE,"waiver()",NA
"scale_y_sqrt","labels","text","",FALSE,"waiver()",NA
"scale_x_continuous","limits","text","",FALSE,"NULL",NA
"scale_y_continuous","limits","text","",FALSE,"NULL",NA
"scale_x_log10","limits","text","",FALSE,"NULL",NA
"scale_y_log10","limits","text","",FALSE,"NULL",NA
"scale_x_reverse","limits","text","",FALSE,"NULL",NA
"scale_y_reverse","limits","text","",FALSE,"NULL",NA
"scale_x_sqrt","limits","text","",FALSE,"NULL",NA
"scale_y_sqrt","limits","text","",FALSE,"NULL",NA
"scale_x_continuous","expand","text","",FALSE,"waiver()",NA
"scale_y_continuous","expand","text","",FALSE,"waiver()",NA
"scale_x_log10","expand","text","",FALSE,"waiver()",NA
"scale_y_log10","expand","text","",FALSE,"waiver()",NA
"scale_x_reverse","expand","text","",FALSE,"waiver()",NA
"scale_y_reverse","expand","text","",FALSE,"waiver()",NA
"scale_x_sqrt","expand","text","",FALSE,"waiver()",NA
"scale_y_sqrt","expand","text","",FALSE,"waiver()",NA
"scale_x_continuous","oob","text","censor",FALSE,"",NA
"scale_y_continuous","oob","text","censor",FALSE,"",NA
"scale_x_log10","oob","text","censor",FALSE,"",NA
"scale_y_log10","oob","text","censor",FALSE,"",NA
"scale_x_reverse","oob","text","censor",FALSE,"",NA
"scale_y_reverse","oob","text","censor",FALSE,"",NA
"scale_x_sqrt","oob","text","censor",FALSE,"",NA
"scale_y_sqrt","oob","text","censor",FALSE,"",NA
"scale_x_continuous","na.value","text","NA_real_",FALSE,"",NA
"scale_y_continuous","na.value","text","NA_real_",FALSE,"",NA
"scale_x_log10","na.value","text","NA_real_",FALSE,"",NA
"scale_y_log10","na.value","text","NA_real_",FALSE,"",NA
"scale_x_reverse","na.value","text","NA_real_",FALSE,"",NA
"scale_y_reverse","na.value","text","NA_real_",FALSE,"",NA
"scale_x_sqrt","na.value","text","NA_real_",FALSE,"",NA
"scale_y_sqrt","na.value","text","NA_real_",FALSE,"",NA
"scale_x_continuous","trans","select","identity,asn,atanh,boxcox,exp,log,log10,log1p,log2,logit,probability,probit,reciprocal,reverse,sqrt",TRUE,"",NA
"scale_y_continuous","trans","select","identity,asn,atanh,boxcox,exp,log,log10,log1p,log2,logit,probability,probit,reciprocal,reverse,sqrt",TRUE,"",NA
"scale_x_continuous","trans","select","identity,asn,atanh,boxcox,exp,log,log10,log1p,log2,logit,probability,probit,reciprocal,reverse,sqrt",TRUE,"",NA
"scale_y_continuous","trans","select","identity,asn,atanh,boxcox,exp,log,log10,log1p,log2,logit,probability,probit,reciprocal,reverse,sqrt",TRUE,"",NA
"scale_x_reverse","trans","select","identity,asn,atanh,boxcox,exp,log,log10,log1p,log2,logit,probability,probit,reciprocal,reverse,sqrt",TRUE,"",NA
"scale_y_reverse","trans","select","identity,asn,atanh,boxcox,exp,log,log10,log1p,log2,logit,probability,probit,reciprocal,reverse,sqrt",TRUE,"",NA
"scale_radius","trans","select","identity,asn,atanh,boxcox,exp,log,log10,log1p,log2,logit,probability,probit,reciprocal,reverse,sqrt",TRUE,"",NA
"scale_size","trans","select","identity,asn,atanh,boxcox,exp,log,log10,log1p,log2,logit,probability,probit,reciprocal,reverse,sqrt",TRUE,"",NA
"scale_x_continuous","position","select","bottom,top",TRUE,"",NA
"scale_x_log10","position","select","bottom,top",TRUE,"",NA
"scale_x_reverse","position","select","bottom,top",TRUE,"",NA
"scale_x_sqrt","position","select","bottom,top",TRUE,"",NA
"scale_y_continuous","position","select","left,right",TRUE,"",NA
"scale_y_log10","position","select","left,right",TRUE,"",NA
"scale_y_reverse","position","select","left,right",TRUE,"",NA
"scale_y_sqrt","position","select","left,right",TRUE,"",NA
"scale_x_continuous","sec.axis","text","",FALSE,"waiver()",NA
"scale_y_continuous","sec.axis","text","",FALSE,"waiver()",NA
"scale_x_log10","sec.axis","text","",FALSE,"waiver()",NA
"scale_y_log10","sec.axis","text","",FALSE,"waiver()",NA
"scale_x_reverse","sec.axis","text","",FALSE,"waiver()",NA
"scale_y_reverse","sec.axis","text","",FALSE,"waiver()",NA
"scale_x_sqrt","sec.axis","text","",FALSE,"waiver()",NA
"scale_y_sqrt","sec.axis","text","",FALSE,"waiver()",NA
"scale_colour_brewer","type","select","seq,div,qual",TRUE,"",NA
"scale_fill_brewer","type","select","seq,div,qual",TRUE,"",NA
"scale_colour_distiller","type","select","seq,div,qual",TRUE,"",NA
"scale_fill_distiller","type","select","seq,div,qual",TRUE,"",NA
"scale_colour_brewer","palette","select","1,BrBG,PiYG,PRGn,PuOr,RdBu,RdGy,RdYlBu,RdYlGn,Spectral,Accent,Dark2,Paired,Pastel1,Pastel2,Set1,Set2,Set3,Blues,BuGn,BuPu,GnBu,Greens,Greys,Oranges,OrRd,PuBu,PuBuGn,PuRd,Purples,RdPu,Reds,YlGn,YlGnBu,YlOrBr,YlOrRd",TRUE,"",NA
"scale_fill_brewer","palette","select","1,BrBG,PiYG,PRGn,PuOr,RdBu,RdGy,RdYlBu,RdYlGn,Spectral,Accent,Dark2,Paired,Pastel1,Pastel2,Set1,Set2,Set3,Blues,BuGn,BuPu,GnBu,Greens,Greys,Oranges,OrRd,PuBu,PuBuGn,PuRd,Purples,RdPu,Reds,YlGn,YlGnBu,YlOrBr,YlOrRd",TRUE,"",NA
"scale_colour_distiller","palette","select","1,BrBG,PiYG,PRGn,PuOr,RdBu,RdGy,RdYlBu,RdYlGn,Spectral,Accent,Dark2,Paired,Pastel1,Pastel2,Set1,Set2,Set3,Blues,BuGn,BuPu,GnBu,Greens,Greys,Oranges,OrRd,PuBu,PuBuGn,PuRd,Purples,RdPu,Reds,YlGn,YlGnBu,YlOrBr,YlOrRd",TRUE,"",NA
"scale_fill_distiller","palette","select","1,BrBG,PiYG,PRGn,PuOr,RdBu,RdGy,RdYlBu,RdYlGn,Spectral,Accent,Dark2,Paired,Pastel1,Pastel2,Set1,Set2,Set3,Blues,BuGn,BuPu,GnBu,Greens,Greys,Oranges,OrRd,PuBu,PuBuGn,PuRd,Purples,RdPu,Reds,YlGn,YlGnBu,YlOrBr,YlOrRd",TRUE,"",NA
"scale_colour_brewer","direction","text","1",FALSE,"",NA
"scale_fill_brewer","direction","text","1",FALSE,"",NA
"scale_colour_distiller","direction","text","-1",FALSE,"",NA
"scale_fill_distiller","direction","text","-1",FALSE,"",NA
"scale_colour_distiller","values","text","",FALSE,"NULL",NA
"scale_fill_distiller","values","text","",FALSE,"NULL",NA
"scale_colour_distiller","space","text","Lab",TRUE,"",NA
"scale_fill_distiller","space","text","Lab",TRUE,"",NA
"scale_colour_distiller","na.values","text","grey50",TRUE,"",NA
